i,j
29207,29201
29207,29031
46119,46069
46119,46107
31051,31043
31051,46027
31051,46127
46003,46035
46003,46073
46003,46111
29081,29079
29081,19159
29081,29129
29081,19053
29041,29115
29041,29175
29041,29121
01123,01081
01123,01027
01123,01017
01123,01111
47053,47131
47053,47017
47053,47183
29019,29027
29019,29175
29019,29007
13243,13259
13243,13273
13243,13307
12067,12079
12067,12041
12067,12121
29093,29221
29093,29123
29093,29187
12099,12093
12099,12085
13275,13205
13275,13027
13275,13071
12119,12069
12119,12083
01113,01081
01113,13259
01113,13053
01113,13215
31043,19193
31043,46127
13205,13095
13205,13071
13205,13321
01079,01077
01079,01043
01079,01103
01079,01083
01121,01115
01121,01027
01121,01015
01121,01029
29079,29115
29079,29129
29079,29211
46135,46067
46135,46027
46135,46125
19003,19159
19003,19029
19003,19175
19003,19001
12079,13027
12079,12121
12079,13185
12079,12047
29073,29071
29073,29139
29073,29219
01077,47181
01077,47099
01077,01083
01077,47055
01043,01009
01043,01103
01043,01095
47131,21075
47131,47183
47131,21105
29221,29187
29221,29071
29221,29099
47077,47039
47077,47017
29027,29007
29027,29139
12041,12121
12041,12001
12041,12023
12093,12085
12093,12097
12093,12111
12093,12061
29123,29017
29123,29187
29123,29157
19159,19175
19159,19053
19159,19039
46067,46035
46067,46061
46067,46125
46067,46087
01081,01017
01081,13215
01081,13145
19133,19193
19133,19047
19133,19093
46069,46107
46069,46059
46069,46049
38041,38089
38041,38037
13259,13307
13259,13053
13259,13197
29115,29211
29115,29121
29115,29001
38007,38089
38007,38053
38007,38025
19029,19165
19029,19001
19029,19009
19029,19077
46035,46061
46035,46111
46031,46129
46031,38085
46031,46021
46031,38029
01115,01009
01115,01015
01115,01055
01009,01095
01009,01055
47181,47039
47181,47135
47181,47099
47181,47101
29175,29007
29175,29121
29175,29137
01027,01111
01027,01029
19165,19047
19165,19009
19165,19027
21075,29133
21075,21105
29017,29031
29017,29157
46027,46127
46027,46125
46027,46083
46073,46059
46073,46111
46073,46005
30083,30085
30083,38053
30083,38105
13273,13095
13273,13307
13273,13177
13273,13261
13095,13177
13095,13321
13027,13071
13027,13185
13027,12047
13027,13075
47039,47017
47039,47135
47039,47005
12121,12047
12121,12023
29187,29186
29187,29099
29187,29157
29129,19053
29129,29211
29129,29171
29129,19185
47017,47183
47017,47005
47017,47079
01017,01111
01017,13145
01017,13285
46107,46129
46107,46049
46107,46045
29201,29133
29201,29031
29201,17003
12085,12111
01103,01083
01103,01095
01103,01089
13307,13197
13307,13261
29071,29219
29071,29099
29071,29183
29071,29189
19193,46127
19193,19047
19193,19149
19193,19093
19193,19035
12069,12097
12069,12083
12069,12095
12069,12117
12069,12127
46127,19149
46127,46083
46127,19167
29133,21105
29133,17003
29133,21039
29133,21007
13071,13321
13071,13075
13071,13277
12097,12095
12097,12061
12097,12009
19175,19053
19175,19001
19175,19039
19175,19121
47183,21105
47183,47079
47183,21083
38089,38037
38089,38025
38089,38059
38089,38057
12083,12001
12083,12107
12083,12127
13053,13215
13053,13197
13053,13263
46061,46111
46061,46087
46061,46097
19053,19039
19053,19185
19053,19117
46059,46005
46059,46049
46059,46115
29211,29171
29211,29001
13215,13145
13215,13263
12001,12023
12001,12125
12001,12007
12001,12107
46125,46087
46125,46083
46125,46099
19001,19009
19001,19077
19001,19121
19001,19049
30085,30019
30085,38053
30085,30091
30085,38105
29007,29139
29007,29137
29007,29173
29007,29163
21105,21039
21105,21083
19047,19009
19047,19093
19047,19027
19047,19161
19009,19077
19009,19027
29121,29137
29121,29001
29121,29205
29121,29103
47135,47005
47135,47101
47135,47085
47135,47081
12111,12061
46111,46005
46111,46097
46111,46077
29139,29219
29139,29113
29139,29163
13177,13321
13177,13261
13177,13081
13185,12047
13185,13075
13185,13101
13185,13173
13185,13019
47099,47101
47099,47055
47099,47119
01083,47055
01083,01089
01083,47103
12095,12117
12095,12009
12095,12127
29031,17003
29031,29157
29031,17181
38037,38085
38037,38059
12047,12023
12047,13101
19149,19167
19149,19035
19149,19141
01111,13285
01111,01029
01111,13149
01111,13045
13321,13277
13321,13287
13321,13081
29186,29099
29186,29157
29186,17133
29186,17157
13145,13285
13145,13263
13145,13199
29219,29183
29219,29113
29137,29205
29137,29173
29137,29127
13197,13261
13197,13249
13197,13263
13197,13269
17003,21007
17003,17153
17003,17181
46129,46021
46129,46045
46129,46089
29099,17133
29099,29189
12061,12009
13075,13277
13075,13019
12023,12125
12023,13101
12023,12003
12023,13065
21039,21007
21039,21083
21039,21145
01015,01055
01015,01029
01015,01019
13261,13249
13261,13081
13261,13193
13261,13093
38085,38059
38085,38029
01095,01055
01095,01089
01095,01049
01095,01071
46087,46097
46087,46099
46087,46079
30019,30091
19039,19185
19039,19121
19039,19117
19039,19181
47005,47079
47005,47085
47005,47083
47005,47161
01055,01019
01055,01049
47101,47081
47101,47119
29157,17181
29157,17157
29157,17077
13249,13269
13249,13193
47079,21083
47079,21035
47079,47161
46083,19167
46083,46099
46083,19119
19093,19035
19093,19161
19093,19021
13285,13149
13285,13199
13285,13077
12125,12007
12125,12003
29171,19185
29171,29001
29171,19007
29171,29197
19185,19117
19185,19007
19185,19135
46005,46115
46005,46077
46005,46025
19077,19121
19077,19027
19077,19049
19077,19073
21007,17153
21007,21145
21083,21035
21083,21145
21083,21157
13277,13287
13277,13019
13277,13155
29001,29103
29001,29197
29001,29199
19121,19049
19121,19181
19121,19153
47055,47119
47055,47103
47055,47117
29205,29103
29205,29127
29205,29111
13101,13173
13101,13065
17153,17181
17153,21145
17153,17127
17153,17087
46049,46045
46049,46115
46049,46013
01029,01019
01029,13045
01029,13143
01029,13233
46097,46079
46097,46077
13149,13045
13149,13077
12007,12107
12007,12003
12007,12019
12117,12009
12117,12127
19027,19161
19027,19073
19027,19025
38053,38025
38053,38105
38053,38061
01089,47103
01089,01071
01089,47051
13173,13019
13173,13065
13173,13003
13263,13269
13263,13199
13263,13293
47085,47081
47085,47083
47085,47043
13287,13081
13287,13155
13287,13315
13287,13017
13019,13155
13019,13003
13019,13069
19167,19035
19167,19119
19167,19141
19167,19143
17133,17157
17133,29189
17133,17163
38025,38057
38025,38061
38025,38055
13081,13093
13081,13315
17181,17077
17181,17087
17181,17199
12009,12127
47081,47119
47081,47043
47081,47187
46021,38029
46021,46089
46021,38051
19035,19161
19035,19141
19035,19021
19035,19041
12107,12127
12107,12019
12107,12035
12107,12109
29183,29113
29183,29189
29183,17013
29183,17083
29183,17119
21035,21157
21035,47161
21035,21221
19161,19021
19161,19025
19161,19151
17157,17077
17157,17163
17157,17145
17157,17189
12003,13065
12003,12019
12003,13299
12003,13049
12003,12031
12003,12089
29113,29163
29113,17013
21145,17127
21145,21157
21145,21139
19117,19007
19117,19181
19117,19135
19117,19125
13269,13193
13269,13293
13269,13079
13269,13225
29173,29163
29173,29127
29173,17149
29189,17163
29189,17119
01019,01049
01019,13233
01019,13115
01019,13055
46099,46079
46099,19119
46099,27133
46099,46101
46099,27117
13199,13077
13199,13293
13199,13231
13199,13255
13193,13093
13193,13079
13193,13225
13193,13153
29103,29111
29103,29199
29103,29045
13093,13315
13093,13235
13093,13153
19007,29197
19007,19135
19007,19051
19007,19179
12127,12035
38059,38029
38059,38057
38059,38065
38059,38015
29197,29199
29197,19051
29163,17013
29163,17149
19049,19181
19049,19073
19049,19153
19049,19015
13065,13003
13065,13299
17077,17145
17077,17199
17077,17055
47119,47117
47119,47187
46045,46089
46045,46013
19181,19153
19181,19125
13045,13143
13045,13077
13045,13097
13045,13223
13045,13121
13155,13017
13155,13069
47103,47117
47103,47127
47103,47003
47103,47051
30091,38105
30091,38023
12019,12109
12019,12031
17127,17087
17127,21139
17127,17151
46079,46077
46079,46101
46079,46011
29127,29111
29127,17149
29127,17001
19119,19141
19119,27133
19119,19143
19119,27105
21157,21139
21157,21221
21157,21143
47083,47161
47083,47043
47083,47125
13143,13233
13143,13223
19073,19025
19073,19015
19073,19187
13077,13113
13077,13255
13077,13121
46115,46025
46115,46013
46115,46037
46077,46025
46077,46011
46077,46057
01049,01071
01049,13055
01049,13083
01049,13295
17087,17199
17087,17151
17087,17165
13003,13299
13003,13069
47161,21221
47161,47125
47161,21047
13293,13231
13293,13079
13293,13171
13293,13207
47117,47187
47117,47003
47117,47149
13315,13017
13315,13235
13315,13091
13315,13271
17163,17189
17163,17119
17163,17027
19141,19021
19141,19143
19141,19041
19141,19059
12035,12109
19021,19025
19021,19041
19021,19151
19021,19147
38029,38051
38029,38015
38029,38047
38029,38043
19025,19151
19025,19187
17013,17083
17013,17149
17013,17061
01071,47051
01071,13083
01071,47115
13231,13171
13231,13255
47043,47187
47043,47125
47043,47021
29111,29045
29111,17001
29111,17067
38057,38065
38057,38055
19135,19051
19135,19125
19135,19179
19135,19123
13017,13069
13017,13271
29199,19051
29199,29045
29199,19177
13233,13115
13233,13223
13233,13015
13079,13225
13079,13153
13079,13207
13079,13021
17145,17189
17145,17055
17145,17081
38105,38023
38105,38061
38105,38013
27133,46101
27133,27117
27133,27105
27133,27101
13225,13153
17199,17151
17199,17055
17199,17165
21139,17151
21139,21143
21139,21055
21139,17069
19051,19179
19051,19177
19051,19101
19153,19125
19153,19015
19153,19099
19153,19169
46101,46011
46101,27117
46101,27081
47127,47003
47127,47051
47127,47031
13235,13153
13235,13091
13235,13023
19125,19123
19125,19099
38065,38015
38065,38055
17151,17165
17151,17069
13153,13021
13153,13023
13153,13289
13299,13069
13299,13049
13299,13229
13299,13005
13299,13025
13069,13271
13069,13161
13069,13005
46089,38051
46089,46013
46089,38021
17083,17119
17083,17061
17083,17117
21221,21143
21221,21033
21221,21047
21143,21055
21143,21033
13097,13223
13097,13121
13097,13067
19015,19187
19015,19169
19015,19079
13113,13255
13113,13063
13113,13121
47187,47021
47187,47037
47187,47149
13049,12089
13049,13025
13049,13039
12109,12031
13171,13255
13171,13207
13171,13035
46025,46057
46025,46029
46025,46037
47003,47031
47003,47149
47051,47031
47051,47115
47051,47061
19143,19041
19143,27105
19143,19059
19143,27063
13255,13063
13255,13151
13255,13035
17149,17001
17149,17061
17149,17171
17149,17009
17149,17137
13115,13055
13115,13015
13115,13295
13115,13129
17189,17027
17189,17081
17189,17121
13223,13067
13223,13015
19041,19151
19041,19059
19041,19147
19041,19063
19151,19187
19151,19147
19151,19091
19151,19109
17119,17027
17119,17117
17119,17005
17119,17135
47125,47021
47125,21047
47125,47147
47125,21219
12031,12089
29045,19177
29045,19111
29045,17067
13055,13295
47021,47037
47021,47147
17001,17009
17001,17067
17001,17169
38051,38047
38051,38021
38051,38045
17055,17165
17055,17081
17055,17065
13091,13271
13091,13023
13091,13309
13091,13175
13207,13021
13207,13035
13207,13169
13207,13159
13063,13121
13063,13151
13063,13089
13271,13161
13271,13309
19179,19177
19179,19123
19179,19101
19179,19107
19187,19079
19187,19091
19187,19197
46011,27117
46011,46057
46011,27081
46011,46039
17061,17171
17061,17117
17061,17137
13021,13289
13021,13169
12089,13039
27117,27101
27117,27081
27117,27083
46057,46029
46057,46039
13023,13289
13023,13175
13023,13319
27105,27101
27105,27063
27105,27033
17165,17069
17165,17059
17165,17065
21055,17069
21055,21033
21055,21225
21055,21233
17069,17059
17069,21225
21033,21047
21033,21107
21033,21233
19177,19101
19177,19111
19177,19087
19123,19099
19123,19107
19123,19157
17027,17005
17027,17121
17027,17051
13083,13295
13083,47115
13083,47065
19099,19169
19099,19127
19099,19157
19099,19171
13121,13067
13121,13089
13121,13057
13121,13135
13121,13117
13151,13035
13151,13089
13151,13247
13151,13217
47037,47149
47037,47147
47037,47189
47037,47165
19169,19079
19169,19127
19169,19083
46013,46037
46013,38021
46013,46091
46013,38081
13289,13169
13289,13175
13289,13319
38015,38055
38015,38043
38015,38083
47031,47149
47031,47061
47031,47015
47031,47177
13067,13015
13067,13057
21047,21219
21047,21107
21047,21177
38023,38013
47149,47015
47149,47189
19059,19147
19059,27063
19059,19063
13035,13159
13035,13217
13161,13005
13161,13309
13161,13001
13161,13209
13161,13279
13015,13129
13015,13057
13015,13227
13295,13129
13295,13047
13295,13313
13295,47065
17171,17137
13229,13005
13229,13025
13229,13001
13229,13305
13005,13001
38061,38055
38061,38013
38061,38101
17081,17065
17081,17121
17081,17191
38055,38101
38055,38083
38055,38049
19147,19091
19147,19063
19147,19109
47115,47061
47115,47153
47115,47065
38047,38043
38047,38045
38047,38093
17009,17137
17009,17169
17009,17017
17117,17137
17117,17135
17117,17167
19079,19197
19079,19083
19079,19069
13025,13039
13025,13305
13025,13127
19101,19107
19101,19087
19101,19183
19091,19197
19091,19109
19091,19081
46029,46037
46029,46039
46029,46051
13169,13159
13169,13319
13169,13009
13169,13237
13309,13175
13309,13209
13309,13283
17059,17065
17059,21225
17059,17193
17059,18129
13089,13247
13089,13135
17005,17135
17005,17051
19111,17067
19111,19087
19111,19057
19111,17071
17065,17193
17065,17191
17067,17169
17067,17109
17067,17071
47147,21219
47147,21141
47147,47165
47147,21213
27101,27083
27101,27033
27101,27127
13129,13057
13129,13313
13129,13227
13129,13213
13129,13123
47061,47177
47061,47153
21219,21141
21219,21177
13175,13319
13175,13283
13175,13167
13175,13107
13039,13127
27081,46039
27081,27083
27081,27173
13247,13217
13247,13135
13247,13297
46037,46051
46037,46091
46037,46109
13159,13217
13159,13237
13159,13211
13001,13305
13001,13279
13001,13267
47015,47189
47015,47177
47015,47041
19107,19157
19107,19183
19107,19095
46039,46051
46039,27173
46039,27073
21225,21233
21225,18129
21225,21101
13047,13313
13047,47065
27063,19063
27063,27033
27063,27091
27063,27165
13217,13297
13217,13211
17137,17017
17137,17167
13319,13009
13319,13167
13319,13303
21107,21233
21107,21177
21107,21149
19127,19157
19127,19083
19127,19171
19127,19075
13057,13227
13057,13117
13057,13085
19157,19095
19157,19171
19157,19011
19063,19109
19063,27091
13313,47065
13313,13213
13313,47011
47189,47165
47189,47041
47189,47169
47189,47159
17121,17191
17121,17051
17121,17025
21233,21101
21233,21149
17169,17017
17169,17109
17169,17057
17169,17125
38021,38045
38021,38081
38021,38073
13209,13279
13209,13283
38043,38083
38043,38093
38043,38103
47177,47153
47177,47041
47177,47175
47177,47185
19197,19083
19197,19109
19197,19081
19197,19069
19197,19033
19087,19183
19087,19057
19087,19115
17135,17051
17135,17167
17135,17021
17135,17173
13009,13237
13009,13303
13009,13141
19083,19069
19083,19075
19083,19023
47153,47065
47153,47175
47153,47007
47065,47011
47065,47007
47065,47143
47065,47121
13305,13127
13305,13267
13305,13183
13305,13191
17193,17191
17193,18129
17193,17047
17193,17185
17193,18051
21141,21177
21141,21213
21141,21031
21141,21227
13227,13123
13227,13085
47165,21213
47165,47169
47165,47111
47165,21003
13135,13297
13135,13117
13135,13013
13135,13139
13135,13157
17017,17167
17017,17129
17017,17125
27083,27173
27083,27127
19109,19081
19109,27091
19109,19189
19109,27043
38013,38101
38013,38075
13279,13283
13279,13267
13279,13107
13279,13043
13283,13167
13283,13107
38101,38075
38101,38049
13237,13211
13237,13141
13237,13133
13213,13123
13213,47011
13213,13111
13213,47139
17191,17025
17191,17047
17191,17159
21177,21149
21177,21031
21177,21183
13127,13191
27033,27127
27033,27165
27033,27015
17051,17025
17051,17049
17051,17173
19183,19095
19183,19115
19183,19103
17109,17071
17109,17057
17109,17187
13297,13211
13297,13013
13297,13219
47041,47159
47041,47185
47041,47141
46051,27073
46051,46109
46051,27011
46091,46109
46091,38081
46091,38077
13117,13085
13117,13139
21213,21003
21213,21227
19057,17071
19057,19115
19057,17131
38083,38103
38083,38049
38083,38069
18129,21101
18129,18163
18129,18051
13211,13219
13211,13133
19095,19171
19095,19103
19095,19011
19095,19113
47169,47159
47169,47111
19171,19075
19171,19011
19171,19013
13167,13303
13167,13107
13167,13163
47175,47007
47175,47185
47175,47035
21101,21149
21101,18163
21101,21059
21101,18173
38045,38093
38045,38073
38045,38003
13123,13085
13123,13111
13267,13183
13267,13107
13267,13109
13267,13043
13267,13179
17071,17187
17071,17131
19081,19069
19081,19189
19081,19033
19081,19195
27091,27165
27091,27043
27091,27013
21149,21183
21149,21059
47159,47111
47159,47141
47159,47087
47011,47139
47011,47121
47011,47107
19069,19075
19069,19033
19069,19023
19069,19067
17167,17021
17167,17129
17167,17107
17167,17115
13085,13139
13085,13111
13085,13187
13183,13191
13183,13179
13303,13141
13303,13125
13303,13163
27173,27073
27173,27127
27173,27023
27173,27129
19075,19023
19075,19013
13013,13219
13013,13139
13013,13157
13013,13059
17025,17049
17025,17159
17025,17079
47007,47143
47007,47035
13141,13133
13141,13125
13141,13265
13141,13301
19115,19103
19115,19139
19115,17131
19115,17161
27073,27011
27073,27023
27073,27151
17047,17185
17047,17159
17021,17173
17021,17115
47185,47141
47185,47035
18163,18051
18163,18173
17129,17125
17129,17107
13219,13133
13219,13157
13219,13059
13219,13221
27127,27015
27127,27129
13191,13179
38093,38103
38093,38031
38093,38003
38093,38039
46109,38081
46109,27011
46109,27155
46109,38077
21031,21227
21031,21183
21031,21061
21031,21085
47111,21003
47111,47087
47111,47027
47111,21171
13107,13043
13107,13163
13107,13031
13107,13165
13107,13033
38081,38073
38081,38077
13133,13265
13133,13221
21003,21227
21003,21171
21003,21009
27165,27015
27165,27013
13109,13043
13109,13179
13109,13029
13109,13031
17057,17125
17057,17187
17057,17095
17057,17179
17057,17143
13139,13187
13139,13157
13139,13011
13139,13311
13139,13137
21227,21061
21227,21009
38075,38049
38075,38009
17049,17173
17049,17079
17049,17035
13111,47139
13111,13187
13111,13291
13111,37039
47139,47107
47139,37039
47139,47123
17125,17107
17125,17179
13043,13031
17187,17131
17187,17095
19103,19011
19103,19139
19103,19113
19103,19031
19189,19033
19189,27043
19189,19195
19189,27047
13187,13291
13187,13311
47141,47087
47141,47035
47141,47133
47141,47049
21183,21059
21183,21091
21183,21085
21183,21027
47143,47121
47143,47035
47143,47145
13157,13059
13157,13011
13157,13195
19011,19013
19011,19113
19011,19019
21059,18173
21059,18147
21059,21091
17185,17159
17185,18051
17185,17101
17185,18083
47087,47027
47087,47133
47121,47107
47121,47145
13059,13221
13059,13195
38103,38031
38103,38069
38103,38027
38103,38005
19033,19023
19033,19195
19033,19067
19033,19131
17159,17079
17159,17101
17159,17033
13179,13029
13179,13051
27011,27155
27011,27151
27011,27149
19023,19013
19023,19067
19023,19017
19023,19037
17173,17115
17173,17035
17173,17139
17173,17029
38049,38069
38049,38009
27015,27013
27015,27129
27015,27103
27043,27013
27043,27047
27043,27161
18051,18173
18051,18125
18051,18083
13125,13163
13125,13301
47107,47123
47107,47145
47107,47105
19139,19031
19139,17161
19139,19163
13265,13301
13265,13221
13265,13317
13163,13301
13163,13189
13163,13033
13163,13245
19013,19017
19013,19019
19013,19065
18173,18147
18173,18125
18173,18037
17131,17095
17131,17161
17131,17073
13291,13311
13291,37039
13291,13281
13291,37043
13301,13317
13301,13189
38073,38003
38073,38077
38073,38017
13221,13195
13221,13317
13221,13105
13029,13031
13029,13051
13029,13103
13011,13195
13011,13137
13011,13119
13011,13257
17079,17035
17079,17033
17079,17023
13031,13165
13031,13103
13031,13251
27023,27129
27023,27151
27023,27067
47035,47145
47035,47049
47035,47129
13311,13137
13311,13281
17107,17115
17107,17179
17107,17039
17107,17113
47027,21171
47027,47133
47027,21057
47027,47137
47027,21053
21171,21009
21171,21169
21171,21057
21061,21009
21061,21085
21061,21099
18147,21091
18147,18123
18147,18037
19195,27047
19195,19131
19195,27099
21009,21169
21009,21099
13195,13119
13195,13105
13195,13147
19113,19031
19113,19019
19113,19105
19113,19055
17101,18083
17101,17033
17095,17143
17095,17073
17095,17175
47133,47049
47133,47137
27155,27149
27155,38077
27155,27051
27155,27167
21091,21027
21091,18123
19067,19017
19067,19131
19067,19037
19067,19089
17115,17139
17115,17039
17115,17147
27013,27103
27013,27161
27013,27079
13165,13033
13165,13251
27129,27103
27129,27143
27129,27067
27129,27085
27129,27093
37039,47123
37039,37043
37039,37075
37039,37113
21085,21027
21085,21099
21085,21093
27151,27149
27151,27067
27151,27121
19031,19163
19031,19105
19031,19045
17035,17029
17035,17023
38031,38027
38031,38039
38003,38039
38003,38017
38003,38091
17139,17029
17139,17147
17139,17041
19017,19019
19017,19037
19017,19065
13317,13189
13317,13105
13317,13181
13137,13281
13137,13257
13137,13241
13137,45073
13189,13073
13189,13245
13189,13181
18125,18083
18125,18037
18125,18027
47123,47105
47123,37075
47123,47009
13281,37043
13281,13241
38069,38009
38069,38005
38069,38079
38069,38095
27149,27051
27149,27121
27149,27041
17179,17143
17179,17203
17179,17113
13119,13257
13119,13147
13119,45073
38077,27167
38077,38017
38077,27027
19019,19055
19019,19065
19019,19043
38009,38079
13051,13103
13051,45053
27047,27161
27047,27147
27047,27099
27103,27143
27103,27079
13033,13251
13033,13245
13033,45005
13033,45011
13033,45003
17161,19163
17161,17073
17161,19045
17161,17195
17143,17175
17143,17203
17143,17123
18083,17033
18083,18027
18083,18153
18083,18055
17033,17023
17033,18153
47145,47105
47145,47129
47145,47001
47145,47093
21027,18123
21027,21093
21027,21163
13257,45073
21169,21057
21169,21099
21169,21087
21169,21001
37043,13241
37043,37113
13103,13251
13103,45053
13103,45049
21057,21053
21057,21001
21057,21207
19131,19037
19131,27099
19131,19089
13105,13147
13105,13181
13105,45065
13105,45001
13105,45007
17029,17023
17029,17041
17029,17045
13251,45005
13251,45049
21099,21087
21099,21093
21099,21123
38027,38005
38027,38039
38027,38063
47105,47009
47105,47093
47049,47137
47049,47129
47049,47151
19163,19045
27161,27079
27161,27147
27161,27131
17039,17147
17039,17113
18123,18037
18123,21163
18123,18025
47137,21053
47137,47151
47137,21231
19037,19065
19037,19089
19037,19191
38005,38063
38005,38071
38005,38095
13073,13245
13073,13181
13073,45065
13073,45037
13147,45073
13147,45007
47129,47001
47129,47151
13245,45037
13245,45003
13181,45065
19105,19055
19105,19045
19105,19097
19105,19061
18037,18027
18037,18025
18037,18101
18037,18117
27143,27079
27143,27085
27143,27019
27143,27139
27067,27121
27067,27093
27067,27145
13241,45073
13241,37113
13241,37099
37075,37113
37075,47009
37075,37173
21053,21207
21053,21231
17073,17175
17073,17011
17073,17195
17147,17041
17147,17113
17147,17019
27051,27121
27051,27167
27051,27041
27051,27111
17175,17123
17175,17011
17023,18153
17023,17045
17023,18167
38039,38091
38039,38063
18027,18101
18027,18055
17041,17045
17041,17019
17041,17183
27121,27041
27121,27145
19055,19065
19055,19061
19055,19043
19065,19043
19065,19191
19065,19005
21087,21001
21087,21123
21087,21217
27079,27131
27079,27139
27167,27027
27167,27111
21093,21163
21093,21123
21093,18061
21093,21029
21093,21179
21093,21111
18153,18055
18153,18167
18153,18021
45065,45001
45065,45037
45065,45047
27147,27099
27147,27039
27147,27131
38017,38091
38017,27027
38017,38097
38017,27107
27099,19089
27099,27039
27099,27045
27099,27109
21163,18025
21163,18061
27085,27093
27085,27019
27085,27171
45053,45049
45053,45013
45073,37113
45073,45007
45073,37099
45073,45077
45073,37175
37113,37173
37113,37099
19045,19097
19045,17195
19045,17015
47009,47093
47009,37173
47009,47155
19089,19191
19089,27045
21001,21207
21001,21217
21001,21045
17203,17113
17203,17123
17203,17105
17203,17099
21123,21217
21123,21155
21123,21179
17113,17019
17113,17053
17113,17105
18025,18117
18025,18061
18025,18175
27093,27145
27093,27171
45001,45007
45001,45047
45001,45059
45001,45045
45005,45049
45005,45011
45005,45009
45005,45029
21207,21231
21207,21045
21207,21199
18101,18117
18101,18055
18101,18093
47001,47151
47001,47093
47001,47013
47001,47173
47151,21231
47151,21147
47151,47013
38079,38095
17123,17155
17123,17011
17123,17099
21231,21147
21231,21199
45049,45013
45049,45009
45049,45029
45007,45077
45007,45059
45007,45045
45037,45003
45037,45047
45037,45081
38091,38063
38091,38097
38091,38035
17045,17019
17045,18167
17045,18165
17045,17183
21217,21155
21217,21045
19097,19061
19097,17015
19097,17085
27041,27145
27041,27111
27041,27153
27039,27131
27039,27109
27039,27049
27131,27139
27131,27037
27131,27049
18117,18093
18117,18175
45013,45029
47093,47155
47093,47173
47093,47089
47093,47057
17019,17053
17019,17183
18061,18043
18061,18175
18061,21111
18055,18021
18055,18093
18055,18119
18055,18105
19061,19043
19061,17085
19061,55043
45011,45003
45011,45009
45011,45075
18167,18021
18167,18165
18167,18121
19043,19191
19043,19005
19043,55043
19043,55023
19191,27045
19191,19005
19191,27055
37173,37099
37173,47155
37173,37087
45003,45081
45003,45063
45003,45075
27019,27139
27019,27171
27019,27053
17155,17011
17155,17099
17011,17195
17011,17099
17011,17103
38063,38071
38063,38035
38063,38099
38071,38095
38071,38019
38071,38099
27139,27037
27139,27053
17195,17015
17195,17103
17195,17141
45047,45081
45047,45059
45047,45071
37099,37175
37099,37087
21147,47013
21147,21199
21147,21235
21147,21125
47013,47173
47013,21235
47013,47025
21029,21179
21029,21111
21029,21215
45077,37175
45077,45045
21155,21179
21155,21045
21155,21229
21155,21021
38095,38019
27145,27171
27145,27153
27145,27141
27145,27009
27145,27097
47155,47089
47155,37087
47155,47029
27027,27111
27027,27107
27027,27005
21179,21229
21179,21215
21179,21005
18021,18119
18021,18121
18021,18133
27045,27109
27045,27055
27045,27169
18093,18175
18093,18105
18093,18071
27111,27153
27111,27005
27111,27159
21045,21199
21045,21021
21045,21137
18043,18175
18043,21111
18043,18019
27171,27053
27171,27141
38097,38035
38097,27107
38097,27119
27109,27049
27109,27157
27109,27169
45009,45029
45009,45075
47173,47057
47173,47025
18165,17183
18165,18121
18165,18045
18165,18171
37175,45045
37175,37087
37175,37089
45081,45063
45081,45071
18175,18019
18175,18071
18175,18143
17015,17085
17015,17141
17015,17177
18119,18105
18119,18133
18119,18109
21199,21137
21199,21125
21199,21203
19005,27055
19005,55023
19005,55123
21111,21215
21111,18019
21111,21185
21111,21211
17053,17105
17053,17183
17053,17075
17053,17091
17105,17099
17105,17063
17105,17091
45029,45075
45029,45035
45029,45019
21229,21021
21229,21167
21229,21005
17183,17075
17183,18171
17183,18007
17085,55043
17085,55065
17085,17177
27037,27049
27037,27053
27037,27123
27037,27163
27037,55093
27049,27157
27049,55093
27049,55091
21235,47025
21235,21125
21235,21121
21235,21013
27053,27141
27053,27123
27053,27003
47089,47057
47089,47029
47089,47063
45059,45045
45059,45071
45059,45083
45059,45087
27153,27097
27153,27159
27153,27021
45045,37089
45045,45083
45045,37149
18121,18133
18121,18045
18121,18107
37087,47029
37087,37089
37087,37021
37087,37115
18105,18071
18105,18013
18105,18109
55043,55023
55043,55065
55043,55049
55043,55103
21215,21211
21215,21005
17099,17103
17099,17063
17099,17093
17099,17037
21021,21137
21021,21167
21021,21079
17103,17141
17103,17037
38035,38099
38035,27119
38035,27089
18019,18143
18019,21185
18019,21223
18019,18077
21137,21203
21137,21079
47057,47025
47057,47063
47057,47067
47057,47073
27107,27005
27107,27087
27107,27119
27055,27169
27055,55123
27055,55063
47029,47063
47029,37115
47029,47059
47025,21013
47025,47067
47025,51105
18133,18109
18133,18107
18133,18063
27141,27009
27141,27003
27141,27059
27141,27095
55023,55123
55023,55103
45063,45071
45063,45075
45063,45017
45063,45079
18071,18143
18071,18013
18071,18005
18071,18079
27157,27169
27157,55011
27157,55091
45071,45087
45071,45079
45071,45039
21167,21005
21167,21079
21167,21113
21167,21239
18143,18077
18143,18079
21185,21211
21185,21223
21185,21103
27169,55011
27169,55063
27169,55121
27005,27159
27005,27087
27005,27057
27005,27029
27123,27003
27123,27163
38019,38099
38019,38067
45075,45035
45075,45017
45075,45015
45075,45027
37089,37021
37089,37149
37089,37161
55065,17177
55065,55049
55065,55045
18045,18171
18045,18107
18045,18157
27009,27097
27009,27095
18013,18109
18013,18005
18013,18081
47063,47059
47063,47073
21125,21121
21125,21203
21125,21109
21125,21051
21211,21005
21211,21103
21211,21073
21005,21239
21005,21073
17141,17177
17141,17037
